text,created_at
"Muchas felicidades hermano @LuchoxBolivia. Te deseamos superávit de salud, metas cumplidas y que los resultados de tu gestión cuando seas presidente sean tan exitosos como lo será el proyecto de industrialización del litio. ¡Hasta la victoria! ✊🏽
#FelicidadEsLucho
.
.
.
.
.
.
.
.
#luchoarce #luisarce #luchoxbolivia #felizcumpleaños #cumpleaños #luchocumple #felizcumplelucho",2020-09-28
"#Repost @luchoxbolivia with @make_repost
・・・
Gracias a mi hija e hijos por acompañarme al #DebatePresidencial,ustedes son mi fortaleza. Gracias a quienes nos apoyaron desde sus hogares y a @fambolivia, Confederación Universitaria de Bolivia CUB y medios de comunicación por el espacio. Comprometidos con #Bolivia,dialogando y con propuestas, #VamosASalirAdelante
.
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #bolivia #debatepresidencial #elecciones2020 #futuro
",2020-10-04
"Nuestro candidato a primer senador por Cochabamba @andronico.rodriguez desayunó con canillitas en La Paz y habló sobre las dificultades del sector.
¡Vamos a recuperar la democracia! #vamosasaliradelante
.
.
.
.
.
.
.
.
#andronico #andronicorodriguez #masipsp #lapaz #democracia #canillitas #extraextra #bolivia",2020-10-04
"MASivo cierre de Campaña en Cochabamba. El estadio de Sacaba quedó abarrotado.
.
.
.
#SomosMillones
#SomosMAS
#VamosASalirAdelante
#LuchoPresidente
#LuisArce
#LuchoXlaJuventud
#masipsp
#VamosARecuperarLaDemocracia",2020-10-14
