,created_at,id,text
0,2020-10-14 23:26,1316520773461389312,"Este domingo tenemos la cita más importante de nuestra historia reciente. 

¡No faltes! ¡Vamos Bolivia!
#PrimeroLaGente https://t.co/qCLLRj0x8i"
1,2020-10-14 21:22,1316489473459458048,"Quiero constuir una Bolivia mejor donde primero estén ustedes, la gente; la gente que construye, trabaja y quiere un futuro mejor. 

¡Gracias por la confianza, no voy a defraudarlos! #PrimeroLaGente https://t.co/MzjLDSasen"
2,2020-10-14 16:41,1316418973630713865,"😃Faltan 4 días para derrotarlos en las urnas y para dar inicio a la transformación de Bolivia. 

#PrimeroLaGente https://t.co/fabbtZBkQD"
3,2020-10-14 15:38,1316403040430161925,"Sigue la entrevista con @CFValverde, aquí el link 👉 https://t.co/14TiSEjV44 
#PrimeroLaGente https://t.co/ghqkrP25GD"
4,2020-10-14 15:29,1316400859832610816,"Ya estamos en vivo con @CFValverde, sigue la transmisión 👉 
https://t.co/BSgMk9UGCT

Gracias por el espacio. 
#PrimeroLaGente https://t.co/hySVuvyMqx"
5,2020-10-14 02:52,1316210167088910336,"Tenemos que ir a votar con convicción en el corazón porque nos estamos jugando el futuro de #Bolivia. 

¡Vota 🗳con toda la esperanza! ¡Este 18 de octubre tenemos una cita con la historia! https://t.co/aCPabwD7Id"
6,2020-10-14 02:10,1316199567948480519,"Que @LuchoXBolivia no se haga el distraído tiene mucho que explicar y que @evoespueblo no se haga ilusiones, si vuelve a Bolivia será para rendir cuentas por sus actos. 

¡Estamos a un paso de cerrar la faena👍! ¡Este 18 de octubre vota 🗳por Comunidad Ciudadana! https://t.co/PNTqtYO90F"
7,2020-10-14 01:07,1316183840180908032,"Comunidad Ciudadana tiene programa y visión de Estado para construir una Bolivia mejor, mucho mucho mejor. 

Pido tu voto 🗳 para hacerlo posible y para cerrarle la puerta al pasado. 

¿Evo de nuevo? #NeverInTheLife https://t.co/BVpmadi26Q"
8,2020-10-13 23:00,1316151878263205892,Ya estamos en vivo desde #SantaCruz 👉 https://t.co/zsg6B6UZbk https://t.co/mBXcXMaBny
9,2020-10-13 22:43,1316147512001081345,"¡Estamos listos! 
#PrimeroLaGente https://t.co/MyggujHw8H"
