,text,value
0,abarrotado,0.2790312416478163
1,andronico,0.39179546554904937
2,bolivia,0.5429765859630522
3,campaña,0.2790312416478163
4,canillitas,0.39179546554904937
5,cierre,0.2790312416478163
6,cochabamba,0.3744394585285177
7,cumpleaños,0.20621680671492168
8,cumplidas,0.20621680671492168
9,debatepresidencial,0.3285328115878678
10,democracia,0.39179546554904937
11,deseamos,0.20621680671492168
12,estadio,0.2790312416478163
13,exitosos,0.20621680671492168
14,felicidades,0.20621680671492168
15,felicidadeslucho,0.20621680671492168
16,felizcumpleaños,0.20621680671492168
17,felizcumplelucho,0.20621680671492168
18,gestión,0.20621680671492168
19,gracias,0.3285328115878678
20,hermano,0.20621680671492168
21,industrialización,0.20621680671492168
22,litio,0.20621680671492168
23,luchoarce,0.2920932201587657
24,luchocumple,0.20621680671492168
25,luchopresidente,0.2790312416478163
26,luchoxbolivia,0.454676919204993
27,luchoxlajuventud,0.2790312416478163
28,luisarce,0.41457666254541714
29,masipsp,0.4079901313182964
30,masivo,0.2790312416478163
31,metas,0.20621680671492168
32,presidente,0.20621680671492168
33,proyecto,0.20621680671492168
34,resultados,0.20621680671492168
35,sacaba,0.2790312416478163
36,salud,0.20621680671492168
37,somosmas,0.2790312416478163
38,somosmillones,0.2790312416478163
39,superávit,0.20621680671492168
40,vamosarecuperarlademocracia,0.2790312416478163
41,vamosasaliradelante,0.4079901313182964
42,victoria,0.20621680671492168
