,text,value
0,2018,1.026165792313479
1,2019,0.6002232283083682
2,2020,1.0038725020705834
3,administrativa,0.671635702767769
4,afiliados,0.7515198358019818
5,art,0.987014449596807
6,calendario,0.6411537751098723
7,cruz,0.5773502691896258
8,cumplimiento,0.6978226330008517
9,damos,0.671635702767769
10,defendemos,0.671635702767769
11,derechoshumanos,0.876616276782284
12,eleccionesnacionales2020,0.635357391247372
13,electoral,0.6296959792464044
14,estatutos,0.6122907243569051
15,fecha,0.8116465735633206
16,felicidades,0.5773502691896258
17,incumpliento,0.671635702767769
18,incumplimiento,1.3791952592076457
19,injerencia,0.6468169593275279
20,legal,0.6872905156138027
21,manejan,0.671635702767769
22,militantes,1.392673610911854
23,ministeriodejusticia,0.9305925508504265
24,oep,0.6414102085743952
25,organizacion,1.2531603623687808
26,politica,0.6411537751098723
27,resolucion,0.6708347142917397
28,rsp,0.677632995974469
29,santa,0.5773502691896258
30,tse,1.4814756813599947
