text,created_at
"¡LA CHURA TARIJA CREE!

Gracias a toda esa gente tarijeña que hoy salió a las calles a reafirmar su compromiso con Bolivia.

Con su voz al poder lograremos construir un mejor país; un país sin corruptos, un país descentralizado, un país productivo.

Tarija merece mejores días, merece oportunidades reales de desarrollo para que su gente pueda vivir de actividades como el turismo y la producción vitivinicola volver a levantarse, pueda tener nuevas fuentes de empleo",23/9/2020
"¡CREO EN TARIJA!

Creo en mejores días para la chura, un departamento que necesita oportunidades de desarrollo, necesita una verdadera descentralización para poder explotar el turismo, la producción vitivinícola, la exploración y explotación de hidrocarburos, Tarija necesita ser escuchado.
Las ganas de trabajar están, estoy comprometido a llevar sus voces al poder y que los chapacos tengan mejores días, unidos lo vamos a lograr.
#CreoEnTarija #CreoEnVos",23/9/2020
"Somos Santa Cruz, somos la fuerza y la esperanza de Bolivia.

¡Felicidades Santa Cruz!

#CreoEnSantaCruz #CreoEnVos
#TuVozAlPoder",24/9/2020
"¡Gracias Cotoca!

Nada mejor que celebrar este 24 de septiembre que hacerlo con nuestra gente.

#CreoEnCotoca #CreoEnVos #TuVozAlPoder",24/9/2020
"Estos momentos los guardaré en mi corazón para siempre.

Hoy en la caravana a Cotoca se acercó a mi una señora para entregarme unos deliciosos dulces típicos. Ella buscó la manera de subirse a los hombros de alguien y a pesar de sus años logró alcanzar al camión.

No sé su nombre, pero su rostro quedará guardado en mi memoria con mucho cariño.

¡Gracias Cotoca!

#CreoEnCotoca #CreoEnVos",24/9/2020
"Estas son nuestras encuestas. Las encuestas de la gente que quiere cambio, las encuestas de la gente comprometida con un nuevo país. ¡Creo en un una nueva Bolivia, porque creo en mi gente, porque creo en vos!

#CreoEnMiGente #CreoEnVos #TuVosAlPoder",25/9/2020
"¡La Asociación del Transporte Pesado Internacional cree!

Gracias al sector transporte por darnos su apoyo, gracias por creer en mí y en este proyecto. Me comprometo a trabajar de la mano de ustedes para volver a Bolivia un país grande, productivo, con trabajo.

¡Unidos vamos a cambiar este país!

#CreoEnLosTransportistas #CreoEnVos #TuVozAlPoder",25/9/2020
"¡La gente en las calles quiere cambio!

Gracias Cotoca por creer en nosotros, por creer en mejores días para nuestro país.

#CreoEnMiGente #CreoEnVos #TuVozAlPoder",26/9/2020
"¡Hoy visitamos el norte integrado! Gracias San Juan de Yapacaní, Santa Fe, San Carlos, Buena Vista y Portachuelo, por recibirnos llenos de entusiasmo.

Tenemos un compromiso: llevaremos su voz al poder para crear un mejor país para todos. Nuestra fuerza son ustedes, la gente que cree en una nueva Bolivia.

#CreoEnMiGente #CreoEnVos #TuVozAlPoder",27/9/2020
"¡El norte integrado de Santa Cruz cree en el cambio!

Hoy ratificamos nuestro compromiso con miles de bolivianos que nos han confiado su voz para llevarla al poder.

Tienen mi palabra, ¡una Bolivia nueva se está gestando!

#CreoEnMiGente #CreoEnVos #TuVozAlPoder",27/9/2020
"¡La juventud es protagonista del cambio!

¡La juventud es protagonista del cambio!

Nuestros jóvenes nos demostraron que en 21 días se puede cambiar la realidad de un país. Que se puede trabajar en equipo, que las diferencias terminan donde comienza nuestro amor por Bolivia.

Ese es el nuevo país que queremos, el de los jóvenes, el que lucha por libertad, el que no negocia sus principios, el que se rebela cuando los de siempre quieren burlarse del pueblo.

¡Bolivia es de ustedes! ¡Los jóvenes no son el futuro, son el presente de nuestro país!

#CreoEnLaJuventud #CreoEnVos #TuVozAlPoder",28/9/2020
"Faltan 21 días para ir a votar

El año pasado, cuando dijimos que íbamos a parar este país muchos se burlaron de nosotros.
Creían que la gente se iba a cansar, creían que no éramos capaces de recuperar nuestra democracia, Bolivia estaba tan acostumbrada al abuso que ya había perdido la esperanza de volver a ser libre.

Así empezamos, con un megáfono en mano y ganas de luchar por nuestro presente y el futuro de nuestros hijos. Así empezamos, con una masa de jóvenes dispuestos a rebelarse ante sus padres con tal de hacer respetar su voto, con tal de vivir en un país libre.

Éramos unos cuantos en Santa Cruz, otros en La Paz, Cochabamba, Potosí, Beni, Pando, Chuquisaca, Tarija y Oruro pero teníamos convicción, teníamos esperanza , teníamos fe. Logramos unir al país con cantos y pititas, logramos lo que los viejos políticos nos dijeron siempre que era imposible.

Esta es la lucha del pueblo, esta es la fuerza que tiene la gente cuando se cansa de lo mismo, cuando se acobarda del abuso, cuando cree que vivir mejor es posible.

Hoy a 21 días de las elecciones, comenzamos la cuenta regresiva hacia una nueva Bolivia, hacia ese país que soñamos juntos.

#21D #CreoEnMiGente #CreoEnVos #TuVozAlPoder",28/9/2020
"21 días para soñar
21 días para defender lo que hasta hoy construimos
21 días para terminar lo que comenzamos en las rotondas con pititas.
Préstame tu voto y en 5 años te devolveré una Bolivia productiva, con salud y empleo.

#21D #CreoEnMiGente #CreoEnVos #TuVozAlPoder",28/9/2020
"¡Llegamos a Potosí!

Gracias a su gente valiente por comprometerse con el cambio, gracias por creer en nosotros. Unidos lograremos crear una nueva Bolivia, una Bolivia productiva y con empleos.

#CreoEnPotosi #CreoEnVos #TuVozAlPoder",29/9/2020
