,text,value
0,18,5.0106547416499
1,apoyo,5.697207627987898
2,bolivia,11.87704297306863
3,boliviano,4.642414551202237
4,cariño,4.892853532412913
5,choquehuanca,6.3310220307153635
6,ciudad,3.839190076233546
7,cochabamba,4.668924780401276
8,com,3.897595207551358
9,crisis,4.329548179880147
10,david,6.3310220307153635
11,democracia,4.613894865540424
12,económica,4.356876347204753
13,estabilidad,4.2279442204077595
14,gracias,9.284752358867715
15,hermanas,12.549882993471462
16,hermano,5.712328614173186
17,hermanos,12.9721657107784
18,https,4.30206230327096
19,juventud,4.059322841107038
20,jóvenes,4.0911571817199786
21,octubre,5.635378821614431
22,oruro,4.112753277928446
23,patria,5.371665038744496
24,propuesta,3.7671479260809617
25,pueblo,10.756226070633941
26,vamosarecuperarlademocracia,4.943316428519102
27,vamosasaliradelante,17.75793493274451
28,victoria,5.232137457801984
29,vivo,12.104313846830939
