,created_at,original,translated
25,2020-10-08 15:28,RT @carlosdmesag: No hay posibilidad de acercamiento con el MAS porque ellos no creen en la democracia. El MAS ya nos ha demostrado en 14 a…,
26,2020-10-08 14:21,RT @carlosdmesag: La desesperación por la derrota reactiva la guerra de mentiras y distorsiones. NO voy a hacer una alianza con el MAS ni c…,
27,2020-10-08 02:11,RT @carlosdmesag: #EnVivo por @RedUnoBolivia 👉 https://t.co/A0Ko7A9oQt https://t.co/NRABY3cKXF,
28,2020-10-07 19:03,"RT @carlosdmesag: Si ellos ganan, Evo vuelve. Es hora de un cambio, la evidencia muestra que solo hay un candidato capaz de detenerlos. 

P…",
29,2020-10-07 17:32,"RT @carlosdmesag: Este 18 de octubre pido tu voto 🗳 para terminar con el fraude y la corrupción, construyamos juntos una Bolivia mejor👍.…",
30,2020-10-06 14:50,RT @carlosdmesag: El 18 de octubre tenemos que elegir entre dos caminos; más despilfarro y corrupción o un gobierno abierto que ponga prime…,
31,2020-10-06 13:31,RT @ScCiudadana: #Ahora Gustavo Pedraza presente en la Villa Primero de Mayo @GpedrazaM   @ComunidadCBo https://t.co/J4O6nzwDrO,
32,2020-10-05 22:23,"RT @carlosdmesag: En Comunidad Ciudadana tenemos un plan para salvar y crear empleos:

👉Apoyo directo a los sectores productivos
👉Créditos…",
33,2020-10-05 20:40,"RT @carlosdmesag: #EnVivo conferencia de prensa, denunciamos hechos violento por parte del MAS en contra de @ComunidadCBo 👉 https://t.co/Dr…",
34,2020-10-05 16:45,"Los candidatos de la gente para construir una Bolivia mejor: Eisela Balcazar, candidata a Diputada Plurinominal por Santa Cruz.

#PrimeroLaGente #MesaPresidente https://t.co/22UvU6blAk",
35,2020-10-05 00:09,RT @noticiasfides: #ANF El candidato @carlosdmesag llegó al Círculo de Oficiales de Ejército en La Paz para participar del debate presidenc…,
36,2020-10-04 16:46,RT @carlosdmesag: Exigimos a @LuchoXBolivia y a @evoespueblo que detengan la violencia contra la militancia de CC y respeten las reglas de…,
37,2020-10-04 03:11,"RT @GpedrazaM: Este 18 de octubre hagamos historia, VOTA por @carlosdmesag #MesaPresidente. #MesaGanaDebate https://t.co/Fg3GACtKye",
38,2020-10-04 03:03,RT @carlosdmesag: Mi solidaridad con las familias de Trinidad por los graves efectos climáticos que dejaron mas de 30 heridos y gran destru…,
39,2020-10-04 01:06,"RT @carlosdmesag: Repito, #NeverInTheLife he estado en contra de los bonos, esos los vamos a mantener. 

#MesaPresidente #MesaGanaDebate ht…",
40,2020-10-04 01:05,"RT @GpedrazaM: La mayoría de las y los bolivianos no queremos que el fraude y la corrupción regresen, por eso debemos unirnos para construi…",
41,2020-10-04 01:04,"RT @carlosdmesag: Mientras @LuchoXBolivia tiene que responder por casos graves como el #fondoindígena, nosotros proponemos cero tolerancia…",
42,2020-10-04 00:48,"RT @carlosdmesag: Las y los bolivianos no pueden vivir con 100 bolivianos como dijo @LuchoXBolivia, quien se atribuye un “milagro económico…",
43,2020-10-04 00:44,"RT @carlosdmesag: En el tema del empleo necesitamos: créditos a micros, pequeños y medianos empresarios; inversión a sectores productivos;…",
44,2020-10-04 00:35,"RT @GpedrazaM: No dejes que el fraude, despilfarro y corrupción regresen, vamos por un sistema de salud digno con @carlosdmesag #MesaPresid…",
45,2020-10-04 00:35,RT @GpedrazaM: Luis Arce debe dar muchas explicaciones sobre la corrupción en el gobierno de Morales. Con @carlosdmesag #MesaPresidente vam…,
46,2020-10-04 00:05,"RT @GpedrazaM: No más empleos con carnet político, las y los jóvenes merecen empleos por mérito propio, esa es la propuesta de @carlosdmesa…",
47,2020-10-03 23:58,"RT @carlosdmesag: No, no voy a renunciar. Mi compromiso es construir un gobierno que recupere y cree nuevos empleos, que termine con la cor…",
48,2020-10-03 23:58,"RT @carlosdmesag: Después de 14 años de un mal gobierno, hemos heredado una triple crisis: la de salud, la económica y la corrupción. 

Vam…",
49,2020-10-03 23:25,RT @carlosdmesag: ¡Listos! #MesaPresidente https://t.co/7eKb7Wv3ZF,
50,2020-10-03 02:52,"RT @carlosdmesag: El naranja va bien 👍 😎
#SantaCruz #PrimeroLaGente https://t.co/iYSWye9OAM",
51,2020-10-02 23:11,"RT @carlosdmesag: #EnVivo desde Santa Cruz 👉 https://t.co/ijp42jdoo7 
#PrimeroLaGente https://t.co/4IYf2lqQZs",
52,2020-10-02 16:40,"RT @carlosdmesag: Pido tu voto para terminar con el fraude y la corrupción, porque la gente está primero.

 #PrimeroLaGente https://t.co/v8…",
53,2020-10-02 13:14,"Los candidatos de la gente para construir una Bolivia mejor: Guillermo Benavides, candidato a Diputado Plurinominal por Potosí.

#PrimeroLaGente #MesaPresidente https://t.co/wwIPtXi6OU",
