text,created_at
"En mi visita a Oruro.
¡Por una Bolivia poderosa y próspera!
#ChiPuede #ChiPresidente",2020-09-19
"Ya es hora que el mundo nos conozca por nuestros entendimientos, por nuestra cultura, por nuestra gente, por el respeto a la vida y a la naturaleza. #ChiPuede #ChiPresidente",2020-09-19
"Estaré siendo entrevistado desde EE.UU. a las 19h y a las 20h por Bolivision en ""BOLIVIA DECIDE 2020"". Hoy domingo 20/09/2020",2020-09-20
"Qué el rostro de Dios vuelva en favor de Bolivia.
#ChiPuede #ChiPresidente",2020-09-20
"""Presentamos al famoso guitarrista Chi Hyun Chung""",2020-09-21
