text,created_at
"No hay posibilidad de acercamiento con el MAS porque ellos no creen en la democracia.
Repito #NeverInTheLife",2020-10-08
"Andan muy nerviosos porque les vamos a ganar en primera vuelta.

Este 18 de octubre 🗳 vamos a hacer historia: derrotaremos al MAS en las urnas y construiremos una #Bolivia mejor, mucho mucho mejor.

#PrimeroLaGente
",2020-10-08
10 días 💪🤓,2020-10-08
"Ayúdame a detener al fraude y la corrupción, construyamos juntos una Bolivia mejor, porque la gente está primero.
#PrimeroLaGente",2020-10-09
"Faltan 9 días para derrotar al fraude y la corrupción.
¡Unidos #Bolivia!
#PrimeroLaGente",2020-10-09
"Una vez que le ganemos a la pandemia, pondremos en marcha el tratamiento gratuito contra el cáncer.
#PrimeroLaGente",2020-10-10
"Faltan 8 días. #PrimeroLaGente
",2020-10-10
"El MAS #neverinthelife, construyamos juntos una Bolivia mejor.",2020-10-11
7 días. #Bolivia,2020-10-11
"Este 18 de octubre tenemos una cita con la historia, con nuestro voto 🗳 podemos terminar con el fraude y la corrupción.

Pido tu confianza para encabezar un gobierno que ponga primero a la gente.

¡Vota por Comunidad Ciudadana!

#PrimeroLaGente",2020-10-11
"Detengamos al fraude y a la corrupción, por amor a #Bolivia vota este 18 de octubre. ¡Vamos por el triunfo en primera vuelta!",2020-10-12
"Estamos a 6 días... ¡vamos #Bolivia!
#PrimeroLaGente",2020-10-12
"¡Hagamos historia! 🙌
Acompáñame en vivo al gran cierre de campaña desde #SantaCruz, te espero a las 18:30 horas por mi página de Facebook.",2020-10-12
"Faltan 5 días para hacer historia... ¡vamos por la victoria en primera vuelta!

#PrimeroLaGente",2020-10-13
¡Vamos #Bolivia!,2020-10-13
Este 18 de octubre tienes que salir a votar con la convicción en el corazón. ¡Nos estamos jugando el futuro de #Bolivia! Unidos vamos a cerrarle las puertas al fraude y a la corrupción.,2020-10-14
¿Vas a estar ausente el día en que nos juguemos el futuro el 18 de octubre? ¡Por supuesto que no! Vamos a estar presentes todas y todos los bolivianos para construir juntos una #Bolivia mucho mejor.,2020-10-14
Tenemos que ir a votar con convicción en el corazón porque nos estamos jugando el futuro de #Bolivia. ¡Vota 🗳con toda la esperanza! ¡Este 18 de octubre tenemos una cita con la historia!,2020-10-14
"#EnVivo con Carlos Valverde

https://www.facebook.com/carlos.valverdebravo/videos/390012745707218/",2020-10-14
"😃Faltan 4 días para derrotarlos en las urnas y para dar inicio a la transformación de Bolivia.

#PrimeroLaGente",2020-10-14
"Cierre Santa Cruz

Quiero constuir una #Bolivia mejor donde primero estén ustedes, la gente; la gente que construye, trabaja y quiere un futuro mejor.
¡Gracias por la confianza, no voy a defraudarlos! #PrimeroLaGente",2020-10-14
¡No faltes! #Bolivia,2020-10-14
