,created_at,polarity,text
0,2020-10-04,0.4,"#Repost @luchoxbolivia with @make_repost
・・・
Gracias a mi hija e hijos por acompañarme al #DebatePresidencial,ustedes son mi fortaleza. Gracias a quienes nos apoyaron desde sus hogares y a @fambolivia, Confederación Universitaria de Bolivia CUB y medios de comunicación por el espacio. Comprometidos con #Bolivia,dialogando y con propuestas, #VamosASalirAdelante
.
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #bolivia #debatepresidencial #elecciones2020 #futuro
"
1,2020-10-04,0.25,"Nuestro candidato a primer senador por Cochabamba @andronico.rodriguez desayunó con canillitas en La Paz y habló sobre las dificultades del sector.
¡Vamos a recuperar la democracia! #vamosasaliradelante
.
.
.
.
.
.
.
.
#andronico #andronicorodriguez #masipsp #lapaz #democracia #canillitas #extraextra #bolivia"
2,2020-10-14,0.5,"MASivo cierre de Campaña en Cochabamba. El estadio de Sacaba quedó abarrotado.
.
.
.
#SomosMillones
#SomosMAS
#VamosASalirAdelante
#LuchoPresidente
#LuisArce
#LuchoXlaJuventud
#masipsp
#VamosARecuperarLaDemocracia"
