text,created_at
"Con Warnes recuperaremos la democracia ✊🏽
#SomosMillones
#SomosMAS",2020-09-22
"AUDENCIA PÚBLICA: Garantías en el Proceso Electoral de Bolivia.
#EleccionesBolivia #Mercosur #Parlamento #audencia #vivo #youtube #elecciones
",2020-09-22
Nuestro candidato a vicepresidente David Choquehuanca se reúne con trabajadores de prensa de la ciudad de #ElAlto y las 20 provincias.,2020-09-22
"¡Lucho! ¡Lucho! ¡Lucho! ✊🏽
Lucho Arce hizo una pausa a la campaña yendo a almorzar al mercado campesino, pero fue sorprendido por nuestras hermanas cocineras.",2020-09-22
"El pasado 16 de septiembre, la Defensoría del Pueblo presentó el Informe “Crisis de Estado, Violación de los Derechos Humanos en Bolivia, Octubre-Diciembre de 2019”. El nombre se debe, según la defensora Nadia Cruz, al hecho de que las violaciones a los DDHH “nos han quebrado como sociedad y como Estado”.",2020-09-22
"Federación de Asociaciones Municipales (FAM) premian a Patricia Arce por ""contribuir al desarrollo municipal y valentía de la mujer boliviana"". Felicitamos a una de nuestras más destacas figuras del Instrumento. ✊🏽",2020-09-22
"El candidato a presidente por el Movimiento Al Socialismo, Lucho Arce, sostuvo en la primera Cumbre Internacional Progresista que en Bolivia “el pueblo exige la recuperación de la democracia”, así como otros pueblos en la región de Latinoamérica, donde sectores de derecha buscan socavar los procesos democráticos en marcha.",2020-09-23
"Una nueva propuesta para reconstruir nuestra economía ✊🏽
",2020-09-23
Continúan las propuestas de Lucho Arce para salir de la crisis. Vamos a salir Adelante hermanxs ✊🏽,2020-09-23
"Resaltamos su habilidad y creatividad, al mismo tiempo su responsabilidad para cuidarnos en esta campaña hermanxs 😷✊🏽
#VamosASalirAdelante
#MASBarbijos",2020-09-23
"Somos Mayoría ✊🏽
#SantaCruz
#SomosMillones
#SomosMAS",2020-09-23
Estamos en el Plan 3000 ✊🏽 #ArribaSantaCruz,2020-09-23
Nuestro candidato Lucho Arce en Santa Cruz ✊🏽,2020-09-23
"Para el Movimiento Al Socialismo, Bolivia debe ser autosostenible en la producción de diésel y combustibles ecológicos. Es por ello que en la propuesta de gobierno para las elecciones del 18 de octubre, el MAS promete generar más de 200 mil nuevos empleos directos e indirectos en el sector, dinamizando la actividad económica.",2020-09-23
Hasta la Victoria de Octubre ✊🏽,2020-09-23
"Con el voto recuperaremos la Revolución Democrática y Cultural ✊🏽
Nuestro candidato Lucho Arce recibe masivo apoyo del Plan 3.000 de Santa Cruz.",2020-09-24
"Colomi se tiñe de azul hermanxs ✊🏽
#SomosMillones
#SomosMAS",2020-09-24
"Nuestro candidato Lucho Arce junto a nuestros hermanos Mototaxistas en Warnes ✊🏽
",2020-09-24
Gran Caravana de Mototaxistas en Warnes junto a nuestro candidato Lucho Arce ✊🏽,2020-09-24
"Somos Millones, Somos MAS ✊🏽",2020-09-24
"Ingresa al sitio oficial de la campaña de Lucho Arce presidente de Bolivia, donde podrás descargar el documento donde explica cómo reemplazará la importación de combustibles que tiene un costo de 1000 millones de dólares, y generará al mismo tiempo 200 mil nuevos empleos.
Además de incentivar una nueva industria de servicios derivada de las necesidades para la producción del Biodiesel, producir localmente a menor costo y contribuir con los objetivos de desarrollo sostenible respetando el Medio Ambiente serán parte de los objetivos de gobierno del MAS – IPSP.",2020-09-24
"La jefa anticorrupción de la Fuerza Especial de Lucha Contra el Crimen (FELCC), capitán Silvia Sandoval Peredo, denunció que el director de esa institución, Coronel Iván Rojas, manipuló 11 casos que se investigan en la Fiscalía del Estado.",2020-09-24
"Caravana de Toritos en Tupiza ✊🏽
#LuchoYDavid 
#SomosMAS
#VamosASalirAdelante",2020-09-24
"🎶Se acaba la noche oscura, porque el sol alumbra MAS ✊🏽
Masiva concentración en la Zona Sur de Cochabamba. 
#SomosMillones
#SomosMAS",2020-09-24
La cosa es con guitarra #YoLucho ✊🏽🎶,2020-09-25
Hasta la Victoria ✊🏽,2020-09-25
"El Parlamento del Mercosur (Parlasur) llevó a cabo una audiencia pública para debatir las garantías electorales en Bolivia. Entre los participantes se consensuó que se debe  garantizar el voto, el próximo 18 de octubre, y hacer respetar los derechos humanos porque se ha retrocedido en su ejercicio.",2020-09-25
Uyuni 🙌🏽,2020-09-25
"Hoy desde el Salar de Uyuni en Potosí, presentamos una nueva propuesta para reconstruir la economía de nuestro país ✊🏽",2020-09-25
Continuamos en Vivo con nuestro candidato Lucho Arce ✊🏽,2020-09-25
"Estamos en Uyuni, la hija predilecta de Bolivia ✊🏽
#SomosMillones
#SomosMAS
#VamosASalirAdelante",2020-09-25
"🎶Por nuestro Litio, por nuestro Gas ✊🏽
#RecuperamosLaDemocracia
#VamosASalirAdelante",2020-09-25
"Tiraque expresa su respaldo contundente ✊🏽
#SomosUnidxs 
#SomosMAS 
#JhonnyPardoDiputadoPlurinominal
#EvaSalazarDiputadaPlurinominal
#HéctorArceDiputadoUninominal
#VamosASalirAdelante",2020-09-25
"Eso es cuidarse con estilo hermana ✊🏽😎
#SomosUyuni
#SomosPotosí
#SomosMAS",2020-09-25
"Estamos en Valle Hermoso, proclamando a nuestro binomio ✊🏽
#VamosASalirAdelante",2020-09-25
"Descargue aquí la propuesta para retomar el megaproyecto de la industrialización del litio para beneficio del pueblo boliviano, que se constituirá en el pilar del desarrollo del país. La presentación fue realizada en una emotiva jornada en pleno Salar de Uyuni, por el candidato presidencial del MAS – IPSP, Lucho Arce, acompañado de su compañero de fórmula, David Choquehuanca, y organizaciones sociales potosinas.",2020-09-25
"El majestuoso salar de Uyuni se matizó con pobladores originarios del lugar con vestimenta de fiesta y música ancestral para recibir al binomio del Movimiento Al Socialismo (MAS), Lucho Arce y David Choquehuanca, quienes afirmaron que ese partido es el único que no permitirá la privatización de los recursos naturales y presentaron el plan de industrialización del litio, mediante la instalación de 41 empresas derivadas para asegurar el potenciamiento económico de Bolivia.",2020-09-25
"🎶Porque Bolivia merece MAS ✊🏽
#SomosMillones
#SomosMAS
#VamosASalirAdelante",2020-09-25
"El presidente de la Federación de Asociaciones Municipales (FAM) de Bolivia, Álvaro Ruiz, denunció que hay más de dos mil proyectos paralizados por falta de inversión del gobierno central y que la Presidenta transitoria Jeanine Áñez no recibe a los alcaldes. “A la presidenta solo se la conoce por las redes”, dijo Ruiz.",2020-09-26
Nuestro binomio Lucho Arce y David Choquehuanca en Conferencia de Prensa en Chuquisaca.,2020-09-26
Proclamamos a nuestro Binomio Lucho Arce y David Choquehuanca en Chuquisaca. ✊🏽,2020-09-26
Nuestro candidato Lucho Arce en Sucre✊🏽,2020-09-26
"🎶Y seremos muchos MAS ✊🏽
Sucre proclama a nuestro Binomio Lucho y David con multitudinaria concentración.
#SomosChuquisaca
#SomosMillones
#SomosMAS",2020-09-26
Estamos en Llallagua hermanxs ✊🏽,2020-09-26
Proclamación de nuestro binomio Lucho Arce y David Choquehuanca en la ciudad de Llallagua. ✊🏽,2020-09-26
"🎶Pueblo unido, nunca vencido ✊🏽
Emotiva proclamación en la hermosa ciudad de #Llallagua. Al ritmo de las qh'onqh'otas y las melodiosas voces de nuestras hermanas, nuestro Binomio se va revitalizado y continúa con mucha fuerza hasta la victoria de Octubre!",2020-09-27
"🎶🎶🎶 Y ahora el Pueblo está en la calle, a cuidar y a defender. Esta Patria que ganamos, liberada debe ser🎶🎶🎶
Acompañamos a nuestro binomio con la letra ✊🏽
",2020-09-27
Estamos en vivo con nuestro binomio en RTV Caracol desde la ciudad de Oruro.,2020-09-27
Continuamos en Vivo por RTV Caracol en la ciudad de Oruro.,2020-09-27
"Estamos en Oruro, acompañando a Lucho Arce y David Choquehuanca.
Ahora en Radio Pio XII",2020-09-27
"El Gobierno de la Argentina rechazó las palabras vertidas por la presidenta transitoria de Bolivia, Jeanine Áñez, en la asamblea general de Naciones Unidas, respecto a una supuesta injerencia del país vecino en asuntos electorales bolivianos.",2020-09-27
"Nuestro binomio en vivo, en La Patria Bolivia.
#Oruro",2020-09-27
Conferencia de Prensa de nuestro Binomio Lucho Arce y David Choquehuanca en Oruro. ✊🏽,2020-09-27
Proclamación de nuestro Binomio Lucho Arce y David Choquehuancaen #Oruro ✊🏽,2020-09-27
"🎶Oruro tierra de amor... ✊🏽
Espectacular marco de nuestras hermanas y hermanos orureños proclamando a nuestro binomio.
#SomosOruro
#SomosMAS
#VamosASalirAdelante
",2020-09-27
"🎶¡Lucho! 🎶¡David!🎶
Retumban bombos en la capital del folklore ✊🏽
#SomosCultura 
#SomosMAS
#VamosASalirAdelante",2020-09-27
"Nuestro binomio en Oruro, entrevista con Plus Television Oruro.",2020-09-27
"Estamos muy cerca 😎.

¡Hagamos historia! Este 18 de octubre vota 🗳por Comunidad Ciudadana.

#PrimeroLaGente",2020-09-27
Conferencia de Prensa de nuestro Binomio Lucho Arce y David Choquehuanca en Oruro. ✊🏽,2020-09-27
Proclamación de nuestro Binomio Lucho Arce y David Choquehuancaen #Oruro ✊🏽,2020-09-27
"🎶Oruro tierra de amor... ✊🏽
Espectacular marco de nuestras hermanas y hermanos orureños proclamando a nuestro binomio.
#SomosOruro
#SomosMAS
#VamosASalirAdelante
",2020-09-27
"🎶¡Lucho! 🎶¡David!🎶
Retumban bombos en la capital del folklore ✊🏽
#SomosCultura 
#SomosMAS
#VamosASalirAdelante",2020-09-27
Huanuni recibe a nuestro Binomio Lucho Arce y David Choquehuanca ✊🏽,2020-09-27
Nuestros hermanos Lucho Arce y David Choquehuanca entrando a la mina de Huanuni ✊🏽 ¡Épico momento!,2020-09-27
Liberacióóón 🎶✊🏽,2020-09-27
"🎶En las calles, en las plazas ✊🏽
#SomosMineros
#SomosObreros
#SomosMAS
",2020-09-27
"#FelicidadEsLucho
Muchas felicidades hermano Lucho Arce. Te deseamos superávit de salud, metas cumplidas y que los resultados de tu gestión cuando seas presidente sean tan exitosos como lo será el proyecto de industrialización del litio. ¡Hasta la victoria! ✊🏽",2020-09-28
"Nuestro candidato Lucho Arce es recibido con serenata por su cumpleaños en Tarija.
#FelicidadEsLucho",2020-09-28
Llenemos las redes hermanxs ✊🏽,2020-09-28
"Conferencia de Prensa de nuestro Binomio Lucho Arce y David Choquehuanca desde Tarija ✊🏽
#COD
#SomosMAS
#VamosASalirAdelante",2020-09-28
Nuestro candidato Lucho Arce dialogando con nuestras hermanas warmis ✊🏽,2020-09-28
"Gran Caravana en la Andalucía boliviana ✊🏽
Nuestro binomio Lucho Arce y David Choquehuanca participa del recorrido. 
#SomosTarija
#SomosMAS
#VamosASalirAdelante",2020-09-28
"En vivo desde la chula tierra de Tarija ✊🏽
#SomosTarija
#SomosMAS
#VamosASalirAdelante",2020-09-28
"Dos informes de reconocidos centros de estudios internacionales demuestran que desde la llegada de Jeanine Áñez al gobierno, y por la falta de implementación de políticas públicas responsables durante la pandemia, la pobreza ha crecido notablemente en Bolivia.",2020-09-28
"""Somos nosotros los que vendemos, los que construimos hermosas casas, edificaciones. Somos los maestros, somos nosotros los trabajadores, somos MAS hermanas, hermanos""
David Choquehuanca",2020-09-28
"Estamos en TikTok hermanos y hermanas ✊🏽😎 #SoyDelMAS 
📲 https://vm.tiktok.com/ZSuU85sA/",2020-09-29
Gran Caravana acompañando a nuestro binomio en Villamontes ✊🏽,2020-09-29
Estamos en vivo desde el Gran Chaco boliviano ✊🏽💙,2020-09-29
Gran Proclamación de nuestro binomio Lucho Arce y David Choquehuanca ✊🏽,2020-09-29
"🎶Se acaba la noche oscura, porque el sol alumbra MAS✊🏽
#Ahora síguenos también en TikTok: 📲 https://vm.tiktok.com/ZSuU85sA/",2020-09-29
"#MAS propuestas hermanxs ✊🏽
#VamosASalirAdelante",2020-09-29
Presentamos una nueva propuesta respecto a nuestra política de Hidrocarburos.,2020-09-29
Yacuiba proclama a nuestro Binomio Lucho Arce y David Choquehuanca ✊🏽,2020-09-29
"Yacuiba expresa su respaldo ✊🏽
#SomosElChaco
#SomosMAS
#VamosASalirAdelante",2020-09-29
"La Defensoría del Pueblo de Bolivia presentó ante el Tribunal Supremo Electoral (TSE) un plan para proteger la vida e integridad física de las y los votantes, en el marco de las elecciones presidenciales que se realizarán el próximo 18 de octubre y que significarán la vuelta de un gobierno elegido por el voto popular.",2020-09-30
"El candidato presidencial del Movimiento Al Socialismo, Lucho Arce, afirmó que el impuesto a las grandes fortunas planteado en su programa de gobierno será a las personas que tengan un patrimonio personal entre 5 y 10 millones de dólares y no a las empresas o fábricas que tienen un capital establecido.",2020-09-30
"Y tú ¿de qué estilo eres MAS, del de Lucho o David?
#SomosChacarera
#SomosNuestrasDanzas 
#SomosMAS 
Síguenos también en TikTok 😎✊🏽📲 https://vm.tiktok.com/ZSuU85sA/",2020-09-30
"El candidato a la presidencia por el MAS-IPSP, Lucho Arce, anunció que retomará la implementación del programa de atención integral en oncología para la lucha contra el cáncer que abarcará el diagnóstico, prevención precoz y tratamiento; además de la implementación de la inmunoterapia tal como se realiza en Brasil.",2020-09-30
Gran respaldo en Barcelona✊🏽,2020-09-30
Continuamos sumando MAS respaldo ✊🏽,2020-10-01
"En la noche del 27 de septiembre, Lucho Arce estuvo en Bolivisión presentando los lineamientos de su propuesta de gobierno que, según dijo, está sustentada en tres pilares: reconstrucción económica, salud y educación.",2020-10-01
En la Universidad Mayor de San Simón con su pueblo ✊🏽,2020-10-01
Continuamos desde la Univerdad Mayor de San Simón ✊🏽,2020-10-01
"Estamos en Vivo desde Cochabamba ✊🏽
#SomosZonaSur
#SomosCochabamba
#SomosMAS",2020-10-01
Nuestro candidato Lucho Arce ✊🏽,2020-10-01
"🎶El domingo, en octubre ✊🏽
Contundente concentración en respaldo al Movimiento Al Socialismo en la Zona Sur de Cochabamba, de cara a las elecciones del próximo 18 de octubre. #SomosMAS
#VamosARecuperarLaDemocracia",2020-10-01
"¡Ya llegamos a 50K! ✊🏽
Cada día #SomosMAS",2020-10-01
"Junto con todos nuestros profesionales vamos a construir la #Bolivia que merecemos.
#VamosASalirAdelante",2020-10-01
"🎶Paceñita flor hermosa, pedacito de mi corazón ✊🏽
Gran concentración en la Plaza San Francisco en respaldo al Instrumento Político por la Soberanía de los Pueblos.
#SomosMAS
#VamosARecuperarLaDemocracia",2020-10-01
"El presidente de la Confederación Universitaria Boliviana, Max Mendoza, denunció la grave situación que atraviesan las universidades públicas. “Desde abril venimos advirtiendo, algunos pensaban que era alarmismo, pero de acuerdo a cómo se venía ejecutando el presupuesto, las proyecciones de las once universidades nos mostraban que íbamos a llegar a septiembre con números rojos”, dijo.",2020-10-02
"Nuestros candidatos Lucho Arce y David Choquehuanca acompañan Gran caminata en Morochata ✊🏽
",2020-10-02
🔹HOY gran Caminata y Encuentro de la Juventud junto a nuestros hermanos Andrónico Rodríguez y #EvaCopa,2020-10-02
"En Quillacollo junto a nuestro binomio Lucho Arce y David Choquehuanca ✊🏽
#Cochabamba 
#SomosMillones",2020-10-02
¡Somos Quillacollo! ✊🏽,2020-10-02
"¡En vivo desde Punata! ✊🏽
Nuestro binomio Lucho Arce y David Choquehuanca en la Perla del Valle. 
#SomosCochabamba
#SomosMAS",2020-10-02
"¡En vivo desde El Alto! ✊🏽
Desde el Distrito 8, junto a nuestros hermanos Andrónico Rodríguez y #EvaCopa",2020-10-02
"Continuamos desde la Perla del Valle ✊🏽
Se dirige a Punata nuestro candidato a la presidencia Lucho Arce.",2020-10-02
Lamentamos comunicar el triste fallecimiento de la hermana de nuestro compañero y hermano Diego Pary Rodríguez. Nos unimos al dolor que lo embarga a él y a toda su familia.,2020-10-02
"Hoy, gran debate nacional ✊🏽",2020-10-03
"La Justicia de Bolivia levantó el secreto militar y la Comisión que investiga las 32 muertes ocurridas en las represiones de Senkata, Sacaba y Yapacaní indagará a las Fuerzas Armadas para conocer su responsabilidad en los trágicos hechos.",2020-10-03
