,text,value
0,18,0.23570226039551587
1,aborto,0.2769823736366306
2,biblia,0.35355339059327373
3,bolivia,0.4072579034142347
4,bolivianos,0.439329883887463
5,carlosdmesag,0.523172747159695
6,chi,0.23570226039551587
7,consciente,0.23570226039551587
8,constitución,0.23570226039551587
9,cpe,0.23570226039551587
10,defender,0.9946442015728847
11,defienden,0.23570226039551587
12,demagogias,0.23570226039551587
13,dios,0.5303300858899106
14,dominados,0.23570226039551587
15,dominantes,0.23570226039551587
16,evade,0.23570226039551587
17,exijo,0.3610220414609506
18,explicación,0.3610220414609506
19,fpv,0.23570226039551587
20,gobierno,0.35355339059327373
21,hará,0.3610220414609506
22,intrauterinas,0.2769823736366306
23,intrauterinos,0.3610220414609506
24,logieros,0.23570226039551587
25,mujer,0.2769823736366306
26,niñas,0.2769823736366306
27,niños,0.3610220414609506
28,octubre,0.23570226039551587
29,perpetuarse,0.23570226039551587
30,pro,0.2769823736366306
31,profamilia,0.2769823736366306
32,promueve,0.2769823736366306
33,provida,0.2769823736366306
34,pueblo,0.23570226039551587
35,respondió,0.3610220414609506
36,seguridad,0.3610220414609506
37,utilizados,0.23570226039551587
38,vida,0.2769823736366306
39,voto,0.23570226039551587
40,votos,0.23570226039551587
