,created_at,original,translated
55,2020-10-04 00:43,"RT @LuchoXBolivia: ""Para los jóvenes profesionales tenemos proyectada la Ciudadela Científica"" #VamosASalirAdelante",
56,2020-10-04 00:42,"RT @LuchoXBolivia: ""Los jóvenes para nosotros van a ser actores fundamentales, van a entrar a trabajar a nuestros ministerios, a nuestras e…",
57,2020-10-04 00:38,"RT @LuchoXBolivia: ""Bolivia tiene que resolver el desempleo y la generación de ingresos porque los bolivianos también son artesanos, empres…",
58,2020-10-04 00:38,"RT @LuchoXBolivia: ""La tasa de desempleo se ha triplicado de 4% a 12%. Y la pobreza también. Hay hambre en el pueblo"".
#VamosASalirAdelante",
59,2020-10-04 00:38,"RT @LuchoXBolivia: ""Las juventudes tendrán lugar fundamental. Tenemos varias políticas para incorporar a las juventudes al Estado"" #VamosAS…",
60,2020-10-04 00:32,"RT @LuchoXBolivia: ""El desempleo se va abordar preservando los actuales y generando nuevos empleos, con toda nuestra propuesta"" #VamosASali…",
61,2020-10-04 00:32,"RT @LuchoXBolivia: ""El problema no es solo el desempleo sino la falta de ingresos"" #VamosASalirAdelante",
62,2020-10-04 00:26,"RT @LuchoXBolivia: ""También aplicaremos el Impuesto a la Grandes Fortunas  al 0,01% de la población para aumentar la recaudación #VamosASal…",
63,2020-10-04 00:14,"RT @LuchoXBolivia: ""En 5 años vamos a dejar de importar diésel, que es un factor fundamental que va ayudar a la balanza comercial como a la…",
64,2020-10-04 00:11,"RT @LuchoXBolivia: ""Ya superamos la crisis del 2008 y 2013 sin endeudarnos""  #VamosASalirAdelante https://t.co/qL1qUa1LZg",
65,2020-10-04 00:09,"RT @LuchoXBolivia: ""Garantizamos los bonos hasta la reactivación de la demanda interna"" #VamosASalirAdelante",
66,2020-10-04 00:09,"RT @LuchoXBolivia: ""Tenemos un plan maestro con la lógica de la sustitución de importaciones"" #VamosASalirAdelante",
67,2020-10-03 23:39,RT @LuchoXBolivia: Participamos del Debate Presidencial rumbo a las elecciones del 18 de octubre. #VamosASalirAdelante https://t.co/z9X3JSm…,
68,2020-10-03 18:10,"El candidato a presidente por el MAS @LuchoXBolivia presentó los tres pilares de su propuesta: reconstrucción económica, salud y educación. En salud, una de las prioridades será el combate del coronavirus, donde el gobierno transitorio fue ineficiente.

https://t.co/2YzsW2ihVZ",
