,text,value
0,21,1.1449559498008681
1,5fxaxo3idg,0.5586285529599004
2,arce,0.797882705975706
3,años,0.8632925067225174
4,bolivia,1.7250342208176686
5,boliviadebate,0.6856664049687705
6,cambiar,0.5586285529599004
7,co,1.8689504302545292
8,creoenmigente,0.6177215187559457
9,creoenvos,0.6177215187559457
10,debate,0.6169986747364266
11,debate2020,0.8044202046344185
12,democracia,0.5142284540366413
13,dictador,0.5142284540366413
14,economía,0.7985687755532556
15,esconpropuestas,0.5201648053432149
16,evo,0.9647592677770788
17,exportar,0.6090964342828785
18,hrs,0.6719644144192383
19,https,1.8689504302545292
20,luis,0.797882705975706
21,mesa,0.9313536358883195
22,morales,0.7064095933598574
23,necesita,0.8996748463783847
24,país,0.5931378417534541
25,pedófilo,0.5663545037337789
26,pruebas,0.5604964188384998
27,pueblo,0.5735953194989227
28,tuvozalpoder,0.6177215187559457
29,voto,0.7369668115509957
