,text,value
0,00,0.37688999139458806
1,210,0.4950774464054889
2,47,0.35657923052654783
3,amazonía,0.3598459955665589
4,apoyando,0.35657923052654783
5,años,0.4950774464054889
6,bolivia,0.43370446629914583
7,boliviana,0.3598459955665589
8,campaña,0.5035058547412377
9,candidatos,0.7166047746559984
10,caravana,0.35657923052654783
11,conferencia,0.5729205603098082
12,corazón,0.3598459955665589
13,cotoca,0.35657923052654783
14,creemos,0.9571855570754524
15,creemosbolivia,0.5163325016087658
16,creoenvos,0.8405754613697911
17,cruz,0.6865457394906943
18,electoral,0.4404273809703167
19,envivo,0.8945684852596228
20,felices,0.4950774464054889
21,felicidades,0.3598459955665589
22,fiesta,0.3598459955665589
23,hrs,0.37688999139458806
24,información,0.37688999139458806
25,multitudinaria,0.35657923052654783
26,municipio,0.35657923052654783
27,opinión,0.7071067811865475
28,pando,0.3598459955665589
29,pandocree,0.3598459955665589
30,prensa,0.5729205603098082
31,pública,0.7071067811865475
32,salud,0.4114900460297837
33,santa,0.6865457394906943
34,tuvozalpoder,0.8405754613697911
