,text,value
0,09,0.2630803512047247
1,19h,0.2630803512047247
2,20,0.2630803512047247
3,2020,0.5261607024094495
4,20h,0.2630803512047247
5,bolivia,0.7555126378724796
6,bolivision,0.2630803512047247
7,chi,0.40824829046386296
8,chipresidente,0.7922049590457401
9,chipuede,0.7922049590457401
10,chung,0.40824829046386296
11,conozca,0.31786858868549145
12,cultura,0.31786858868549145
13,decide,0.2630803512047247
14,dios,0.43251797743761455
15,domingo,0.2630803512047247
16,ee,0.2630803512047247
17,entendimientos,0.31786858868549145
18,entrevistado,0.2630803512047247
19,famoso,0.40824829046386296
20,favor,0.43251797743761455
21,gente,0.31786858868549145
22,guitarrista,0.40824829046386296
23,hora,0.31786858868549145
24,hyun,0.40824829046386296
25,mundo,0.31786858868549145
26,naturaleza,0.31786858868549145
27,oruro,0.43251797743761455
28,poderosa,0.43251797743761455
29,presentamos,0.40824829046386296
30,próspera,0.43251797743761455
31,respeto,0.31786858868549145
32,rostro,0.43251797743761455
33,uu,0.2630803512047247
34,vida,0.31786858868549145
35,visita,0.43251797743761455
36,vuelva,0.43251797743761455
