text,created_at
"#RuedaDePrensa| El MAS está abriendo el paraguas para la derrota que van a sufrir porque Comunidad Ciudadana le ganará en las urnas. 
#PrimeroLaGente",26/9/2020
"Bolivia nos necesita unidos contra el fraude y la corrupción, estamos muy cerca👍. #PrimeroLaGente",27/9/2020
"¡No se pueden perder la entrevista de hoy! Los esperamos a las 8pm por 👉 https://m.facebook.com/RedUnotv/
#MesaYPedraza -#PrimeroLaGente",27/9/2020
#EnVivo #MesaYPedraza #PrimeroLaGente,2020-09-27
"Me siento muy orgulloso de mi compañero Gustavo Pedraza, Santa Cruz tendrá a un vicepresidente con credenciales excepcionales en el próximo gobierno.
Pedimos tu voto para derrotar al MAS en las urnas. ¡Hagamos historia! #MesaYPedraza #PrimeroLaGente",2020-09-27
"A las 10 am tenemos conferencia de prensa, por esta página estaremos transmitiendo. ¡Acompáñame!",2020-09-28
"#EntrevistaRedUno| Gustavo Pedraza y yo queremos ser presidente y vicepresidente porque tenemos el conocimiento exacto de cuáles son los tres grandes problemas de #Bolivia: una crisis de salud, desempleo y corrupción. 
#PrimeroLaGente",2020-09-28
#EnVivo Conferencia de prensa desde Cochabamba.,2020-09-28
"¿Santa Cruz? 
-El corazón de Bolivia 
¿Always Ready? 
-El equipo del alma. 
#PrimeroLaGente",2020-09-28
Siempre es un gusto saludar a la gente linda de #Cochabamba,2020-09-28
#EnVivo,2020-09-28
"¡Con todo el corazón! ¡Vamos Bolivia! ¡Hagamos historia este 18 de octubre!
#PrimeroLaGente",2020-09-29
Conversando con jóvenes desempleados,2020-09-29
"Se nos ha ido Quino, que iluminó con lucidez nuestra adolescencia con su inmortal Mafalda, que desde el humor puso en evidencia la injusticia y la inequidad. Mi respeto y admiración al creador 
👉https://www.bibliotecavirtualcarlosdmesa.com/vid.../video/34",2020-09-30
"En aquella entrevista, Quino me regaló un pedacito de su amada Mafalda🙏. Se los comparto.",2020-09-30
"Estamos muy cerca 😎.  
¡Hagamos historia! Este 18 de octubre vota 🗳por Comunidad Ciudadana.  
#PrimeroLaGente",2020-09-30
"Mañana tenemos una cita por👇
⏰ 10:00 - Radio ERBOL 
https://www.facebook.com/RadioErbol100.9FM/ 
⏰ 11:00 - El País (Tarija) 
https://www.facebook.com/diarioelpais.tarija.7/",2020-09-30
"¡Hablemos de propuestas! #PrimeroLaGente 
Tenemos un plan de 4 puntos para vencer a la pandemia 😷 👇, además pondremos en marcha el tratamiento gratuito contra el cáncer.",2020-10-01
Una vez que la vacuna del coronavirus esté lista llagará primero a los más necesitados. #PrimeroLaGente,2020-10-01
"Pido tu voto para terminar con el fraude y la corrupción, porque la gente está primero.
 #PrimeroLaGente",2020-10-02
"Denuncio la agresión de grupos violentos del MAS, que atacaron a nuestros militantes en Villa Pagador, Cochabamba, resultando víctimas Flora Córdoba, Mariel Galindo, Nora Flores y Jhonny Cusipuma, este último está siendo operado ahora.",2020-10-02
Conferencia de prensa en Santa Cruz.,2020-10-02
Santa Cruz con Carlos Mesa.,2020-10-02
"Confío en el corazón de Santa Cruz, unidos le pondremos un alto al fraude y la corrupción. ¡Volvamos a hacer historia!
#PrimeroLaGente",2020-10-02
El naranja va bien 👍 😎 #PrimeroLaGente,2020-10-02
"#EnVivo
",2020-10-02
"¡Llegó la hora ⏰! 
Vamos a demostrar por qué somos la mejor opción para construir una Bolivia mucho mucho mejor. 
Los espero a las 19:30 horas por 👉 https://www.facebook.com/fam.org.bo/",2020-10-03
¡Listos! #MesaPresidente,2020-10-03
#EnVivo  - Debate Presidencial,2020-10-03
"No, no voy a renunciar. Mi compromiso es construir un gobierno que recupere y cree nuevos empleos, que termine con la corrupción y que asegure servicios de salud de calidad. 
#MesaPresidente #MesaGanaDebate",2020-10-03
"¡Este video sí tiene audio!
NO más museos para la gloria de una persona, vamos por un sistema de salud digno. 
#MesaGanaDebate #MesaPresidente",2020-10-03
"Mientras Luis Arce tiene que responder por casos graves como el #fondoindígena, nosotros proponemos cero tolerancia a la corrupción. 
En nuestro gobierno vamos a transparentar todos los gastos. 
#MesaPresidente #MesaGanaDebate",2020-10-03
"El próximo 18 de octubre decidirás tu voto y solo hay dos opciones: MÁS fraude y corrupción; o una candidatura con propuestas claras como las de Comunidad Ciudadana que pondrá #PrimeroALaGente.
Pido tu voto para construir una Bolivia mejor, mucho mejor.
#MesaPresidente #MesaGanaDebate",2020-10-03
Mi solidaridad con las familias de Trinidad por los graves efectos climáticos que dejaron mas de 30 heridos y gran destrucción. Estamos con ustedes en este momento y siempre.,2020-10-03
Exigimos a Luis Arce y Evo Morales que detengan la violencia contra la militancia de CC y respeten las reglas de la democracia. Las autoridades y la policía deben garantizar el ejercicio de los derechos políticos de cualquier organización que participa en esta campaña.,2020-10-04
#EnVivo - Debate Presidencial,2020-10-04
En unos minutos más vamos a conferencia de prensa. Síguela en vivo. #PrimeroLaGente,2020-10-05
#EnVivo - Conferencia de prensa,2020-10-05
"En Comunidad Ciudadana tenemos un plan para salvar y crear empleos:
👉Apoyo directo a los sectores productivos
👉Créditos accesibles a microempresas 
👉En los empleos públicos se valorará el mérito y no el carnet político. 
#PrimeroLaGente",2020-10-05
"El 18 de octubre tenemos que elegir entre dos caminos; más despilfarro y corrupción o un  gobierno abierto que ponga primero a la gente. Pido tu voto🙋🏻‍♂️ para construir unidos una Bolivia mejor, mucho mucho mejor. #PrimeroLaGente",2020-10-06
"Señor Luis Fernando Camacho:
Como usted sabe, yo asistí a dos debates presidenciales, debidamente planificados, uno de los cuáles se realizó en Santa Cruz y el otro en La Paz, cumpliendo con mi vocación democrática.
Por esta razón, declino su invitación.",2020-10-06
"Los espero en Noches Sin Tregua 👉
https://m.facebook.com/cadenaarednacional/",2020-10-06
#EnVivo,2020-10-06
"Este 18 de octubre pido tu voto 🗳 para terminar con el fraude y la corrupción, construyamos juntos una Bolivia mejor👍. 
#PrimeroLaGente",2020-10-07
"Si ellos ganan, Evo vuelve. Es hora de un cambio, la evidencia muestra que solo hay un candidato capaz de detenerlos. Pido tu voto para terminar con la crisis de salud, la económica y con la corrupción. 
Porque la gente está primero #PrimeroLaGente",2020-10-07
"Los espero a las 22:00 horas por 👉 https://www.facebook.com/RedUnotv/ 
#PrimeroLaGente",2020-10-07
#EnVivo,2020-10-07
"La desesperación por la derrota reactiva la guerra de mentiras y distorsiones. NO voy a hacer una alianza con el MAS ni con Morales que representan lo que vamos a desechar de Bolivia: corrupción, abuso y violencia; por eso le inicié un juicio para que pague por el fraude del 2019",2020-10-08
"No hay posibilidad de acercamiento con el MAS porque ellos no creen en la democracia. 
Repito #NeverInTheLife",2020-10-08
"Andan muy nerviosos porque les vamos a ganar en primera vuelta. 
Este 18 de octubre 🗳 vamos a hacer historia: derrotaremos al MAS en las urnas y construiremos una Bolivia mejor, mucho mucho mejor.
#PrimeroLaGente",2020-10-08
"Para que la infame guerra sucia quede al descubierto. NO se dejen engañar, les vamos a GANAR. 
#PrimeroLaGente",2020-10-08
#EnVivo - Conferencia de Prensa desde Santa Cruz,2020-10-08
"Falsear documentos sobre mi estado de salud es el colmo de la guerra sucia, vamos a proceder con la denuncia correspondiente. Están desesperados porque van a perder. 
¡Vamos por la victoria este 18 de octubre  🗳!",2020-10-08
Faltan 10 días ¡Vamos Bolivia! #PrimeroLaGente,2020-10-08
"La advertencia de Evo Morales a los medios, es una amenaza intolerable.  Si Arce gana las elecciones Evo vuelve al poder y con él, la violencia, la corrupción y los abusos.  Con tu voto, no lo vamos a permitir porque con Comunidad Ciudadana, Evo sólo vuelve para rendir cuentas",2020-10-09
"Ayúdame a detener al fraude y la corrupción, construyamos juntos una Bolivia mejor, porque la gente está primero.  
#PrimeroLaGente",2020-10-09
"Faltan 9 días para derrotar al fraude y la corrupción.
¡Unidos Bolivia! 
#PrimeroLaGente",2020-10-09
"Mi homenaje para quienes recuperaron la democracia en 1982. Hoy nos toca hacerlo de nuevo, debemos frenar al fraude y la corrupción. Hemos enfrentado al MAS por más de 14 años, es hora de derrotarlos en las urnas. ¡Viva Bolivia libre!",2020-10-10
"El único pacto de impunidad es el de Arce con su jefe Evo Morales para evitar que se investiguen el fraude, la corrupción, el abuso de poder y las acusaciones que involucran a menores de edad. En nuestro gobierno los delitos de Evo Morales no quedarán sin castigo.",2020-10-10
"Una vez que le ganemos a la pandemia, pondremos en marcha el tratamiento gratuito contra el cáncer.
#PrimeroLaGente",2020-10-10
#EnVivo,2020-10-10
Faltan 8 días. #PrimeroLaGente,2020-10-10
"Mi compromiso con las mujeres bolivianas es sostener e impulsar la búsqueda de una sociedad como la que soñó Adela Zamudio; un país de justicia, donde la igualdad entre hombres y mujeres sea una realidad más allá de la retórica, las leyes incumplidas y la estadística forense. #DíaDeLaMujerBoliviana",2020-10-11
"¡Faltan siete días! ¡Vamos Bolivia, sí se puede! 
#PrimeroLaGente",2020-10-11
"Este 18 de octubre tenemos una cita con la historia, con nuestro voto 🗳 podemos terminar con el fraude y la corrupción. 
Pido tu confianza para encabezar un gobierno que ponga primero a la gente. 
¡Vota por Comunidad Ciudadana! 
#PrimeroLaGente",2020-10-12
"Detengamos al fraude y a la corrupción, por amor a Bolivia vota este 18 de octubre. ¡Vamos por el triunfo en primera vuelta! 
#PrimeroLaGente",2020-10-12
Felicito a la Policía Boliviana por la resolución del caso del secuestro de la niña Samantha. Compartimos la felicidad de la madre y hacemos votos para que no vuelvan a suceder acontecimientos tan lamentables que muestran la vulnerabidad de las niñas y niños en Bolivia.,2020-10-12
"Estamos a 6 días... ¡vamos Bolivia! 
#PrimeroLaGente",2020-10-12
#EnVivo,2020-10-12
"¡Hagamos historia! 🙌
Acompáñame en vivo al gran cierre de campaña desde #SantaCruz, te espero a las 18:30 horas por esta página de Facebook.",2020-10-13
"Faltan 5 días para hacer historia... ¡vamos por la victoria en primera vuelta! 
#PrimeroLaGente",2020-10-13
"¿Están viendo el partido? 
Yo sí y estoy sufriendo y disfrutando al mismo tiempo. ¡Vamos Bolivia🙌!",2020-10-13
"¡Santa Cruz está listo para el cierre de campaña! 
#PrimeroLaGente",2020-10-13
