text,created_at
"#SantaCruz
#NorteIntegrado
Hermoso recibimiento de mis hermanas y hermanos de sindicatos de mototaxis, juventudes y organizaciones sociales de Warnes. Sentimos el gran apoyo del pueblo. Unidos #VamosASalirAdelante ¡Viva Santa Cruz!
.
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #santacruz #warnes #mototaxistas #caravana #bolivia #elecciones2020",2020-09-24
"¡Felicidades mi querida #SantaCruz! Mi reconocimiento al pueblo cruceño, hospitalario, trabajador y visionario. Gracias mis hermanas y hermanos por el apoyo y cariño que siempre he sentido en esta hermosa tierra. ¡Viva Santa Cruz!

#VamosASalirAdelante",2020-09-24
"Luego de una intensa jornada en #SantaCruz, compartimos momentos con la familia. Buenas noches hermanas y hermanos. Gracias por la acogida. Somos felices de estar en esta hermosa tierra.
.
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #bolivia #elecciones2020 #familia #cantar #musica",2020-09-25
Hoy presentamos una nueva propuesta para reconstruir nuestra economía.,2020-09-25
"¡Estamos en #Potosí!

Con mi hermano David Choquehuanca, acompañados de nuestras hermanas y hermanos, iniciamos nuestra caminata en la tierra bendecida del Salar de Uyuni. Rumbo a la victoria de octubre.

#VamosASalirAdelante",2020-09-25
"Desde el majestuoso Salar de Uyuni, reafirmamos nuestras alianzas con las organizaciones sociales para la defensa del litio. Nuestro recurso natural es una de las mayores reservas del mundo y representa la soberanía económica y motor de nuestra liberación. #VamosASalirAdelante",2020-09-25
"Muy agradecido por las muestras de cariño y apoyo de mis hermanas y hermanos de #Uyuni. Con mi hermano David Choquehuanca, nos fortalecemos para defender e industrializar el litio. No permitiremos que las transformaciones se apropien de nuestra riqueza #VamosASalirAdelante
.
.
.
.
.
.
.
.
.
#luchoarce #luisarce #bolivia #uyuni #salar #litio",2020-09-25
"#Uyuni #Potosí
Estamos reunidos con nuestras hermanas y hermanos mineros cooperativistas de Potosí. Escuchamos sus preocupaciones y analizamos cómo salir de la crisis económica y social que vivimos.
#VamosASalirAdelante
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #bolivia #litio #elecciones2020",2020-09-25
"Propuesta para industrialización soberana del litio

🔹Nuestra propuesta para retomar el camino de la industrialización del #Litio, como recurso natural de todas y todos los bolivianos.
#VamosASalirAdelante
.
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #bolivia #litio #recursosNaturales #soberanoaeconomica #democracia",2020-09-25
"¡Cuánto cariño de nuestro pueblo!
En nuestro retorno nos encontramos con hermosos recibimientos en #Pelka y #TicaTica #Potosí.
Gracias mis hermanas y hermanos. No defraudaremos su confianza y cariño. Hasta la victoria. #VamosASalirAdelante
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #bolivia #elecciones2020",2020-09-25
"No tenemos palabras para agradecer tanto apoyo y amor de nuestras hermanas y hermanos potosinos.
Con mi hermano @LaramaDavid reafirmamos nuestro compromiso de trabajar por la agenda de desarrollo de #Potosí con industrias y obras como se merecen. #VamosASalirAdelante
.
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #bolivia #elecciones2020 @laramadavid #davidchoquehuanca #binomio",2020-09-25
"¡Llegamos a #Sucre!
Muy agradecidos por el cariño de nuestras hermanas y hermanos chuquisaqueños que con esperanza nos reciben para expresarnos su confianza. Estamos unidos en un mismo sentir.
#VamosASalirAdelante
.
.
.
.
.
.
.
#LuchoArce #luisarce #bolivia2020 #elecciones #masipsp #binomio",2020-09-26
"¡El Pueblo Unido jamás será Vencido!
Gracias hermanas y hermanos chuquisaqueños. Cumpliremos el mandato que nos dieron, reconstruiremos la economía y fomentaremos el turismo interno para reactivar la economía de la capital de #Bolivia. Con su apoyo #VamosASalirAdelante
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #chiquisaca #bolivia #elecciones2020 #sucre",2020-09-26
"Otro mundo es posible (canción) - Kalamarka

¡El futuro está en nuestras manos mis hermanas y hermanos!
Unidos podemos hacer una nación más justa, libre y democrática. Consolidemos nuestra hermandad. #VamosASalirAdelante
.
.
.
.
.
.
#luchoarce #luisarce #kalamarka #bolivia #bolivia2020 #futuro #nacion",2020-09-26
"¡Vamos a recuperar la Patria con el voto!
Llallagua tierra de historia y hermanos combativos. Gracias por el gran recibimiento.
Unidos todos y todas trabajaremos por la minería y la agricultura de nuestra región.
#VivaPotosí
#VamosASalirAdelante
.
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #bolivia #elecciones2020 #potosi #llallagua",2020-09-26
"Desde tempranas horas de la mañana, con mi hermano @LaramaDavid visitamos medios de comunicación de #Oruro. Gracias a RTV Caracol, Radio Pio XII, Radio Fides, Plus TV, @LaPatriaDigital por el espacio para dar a conocer al pueblo las propuestas con las que #VamosASalirAdelante
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #bolivia #oruro #elecciones2020",2020-09-27
