,text,value
0,18,3.414417799271707
1,arce,14.910913558559159
2,binomio,10.303456287393809
3,bolivia,8.262715352716658
4,caminata,3.7755403330185535
5,campaña,4.451514266316229
6,candidato,10.05096652403419
7,caravana,3.4098446552131363
8,choquehuanca,9.135364062474675
9,cierre,3.647500758693768
10,ciudad,4.683766053255286
11,cochabamba,3.300745172042879
12,concentración,3.167551583288809
13,david,10.396553570517689
14,gobierno,3.183484579721626
15,hermanas,4.146794951991308
16,hermanos,4.402318013281082
17,hermanxs,5.346701330309827
18,lucho,16.09311145740385
19,octubre,5.321682221197736
20,oruro,5.516809731067652
21,pueblo,5.142255686694497
22,respaldo,4.615682690246732
23,santa,3.235122681843569
24,somosmas,13.723403886634593
25,somosmillones,9.418148052009462
26,vamosarecuperarlademocracia,4.891936423162259
27,vamosasaliradelante,9.252222563346672
28,victoria,6.1525782544320675
29,vivo,6.149639449647732
